Application Time,Eye State left,Pupil Radius (millimeters) left,Pupil Radius (millimeters) left error,Eye State right,Pupil Radius (millimeters) right,Pupil Radius (millimeters) right error
9.16,Opened,2.583257,,Opened,2.597731,
9.1742,Opened,2.584523,,Opened,2.606685,
9.1886,Opened,2.589441,,Opened,2.624113,
9.203,Opened,2.596687,,Opened,2.621689,
9.2174,Opened,2.603288,,Opened,2.636112,
9.2318,Opened,2.601186,,Opened,2.612928,
9.2464,Opened,2.619271,,Opened,2.646522,
9.2606,Opened,2.585722,,Opened,2.62801,
9.2749,Opened,2.593598,,Opened,2.643934,
9.2895,Opened,2.619132,,Opened,2.652913,
9.3043,Opened,2.614374,,Opened,2.646567,
9.3189,Opened,2.626591,,Opened,2.658954,
9.333,Opened,2.626333,,Opened,2.657967,
9.3474,Opened,2.623243,,Opened,2.65115,
9.3616,Opened,2.633545,,Opened,2.671285,
9.376,Opened,2.637939,,Opened,2.652717,
9.3901,Opened,2.628258,,Opened,2.645781,
9.4044,Opened,2.621444,,Opened,2.646352,
9.4187,Opened,2.640982,,Opened,2.667237,
9.4331,Opened,2.636076,,Opened,2.682752,
9.4472,Opened,2.609047,,Opened,2.631046,
9.4615,Opened,2.619043,,Opened,2.647649,
9.4759,Opened,2.630958,,Opened,2.657147,
9.49,Opened,2.582234,,Opened,2.597134,
9.5043,Opened,2.629927,,Opened,2.646789,
9.5185,Opened,2.629572,,Opened,2.653292,
9.5326,Opened,2.635022,,Opened,2.679454,
9.5467,Opened,2.640647,,Opened,2.677378,
9.5612,Opened,2.598963,,Opened,2.632487,
9.5755,Opened,2.610261,,Opened,2.623418,
9.5898,Opened,2.616648,,Opened,2.647449,
9.6038,Opened,2.621506,,Opened,2.637257,
9.6184,Opened,2.589617,,Opened,2.611278,
9.6327,Opened,2.615708,,Opened,2.643679,
9.6469,Opened,2.619158,,Opened,2.666233,
9.6609,Opened,2.60521,,Opened,2.620879,
9.6753,Opened,2.608182,,Opened,2.647712,
9.6894,Opened,2.603259,,Opened,2.62599,
9.7037,Opened,2.59998,,Opened,2.6441,
9.7179,Opened,2.598659,,Opened,2.622402,
9.7323,Opened,2.60569,,Opened,2.63295,
9.7467,Opened,2.609069,,Opened,2.636842,
9.7611,Opened,2.597142,,Opened,2.632116,
9.7755,Opened,2.587731,,Opened,2.608395,
9.7897,Opened,2.566081,,Opened,2.607549,
9.8039,Opened,2.573992,,Opened,2.625066,
9.8184,Opened,2.57755,,Opened,2.614141,
9.8329,Opened,2.549871,,Opened,2.577889,
9.8471,Opened,2.578939,,Opened,2.601476,
9.8613,Opened,2.544385,,Opened,2.577505,
9.8755,Opened,2.538626,,Opened,2.550192,
9.8896,Opened,2.52877,,Opened,2.548651,
9.9037,Opened,2.513911,,Opened,2.554668,
9.9185,Opened,2.562069,,Opened,2.588995,
9.933,Opened,2.517932,,Opened,2.542613,
9.9471,Opened,2.508377,,Opened,2.540337,
9.9612,Opened,2.513994,,Opened,2.563796,
9.9751,Opened,2.51805,,Opened,2.546282,
9.9897,Opened,2.513101,,Opened,2.55519,
10.0046,Opened,2.495264,,Opened,2.534977,
10.0189,Opened,2.498641,,Opened,2.530632,
10.0334,Opened,2.462624,,Opened,2.496763,
10.0476,Opened,2.449827,,Opened,2.48364,
10.0621,Opened,2.472384,,Opened,2.486229,
10.0762,Opened,2.477407,,Opened,2.515596,
10.0906,Opened,2.475864,,Opened,2.499557,
10.1049,Opened,2.458759,,Opened,2.494976,
10.1194,Opened,2.431363,,Opened,2.460705,
10.1335,Opened,2.44757,,Opened,2.481557,
10.1479,Opened,2.448441,,Opened,2.478735,
10.1625,Opened,2.442045,,Opened,2.467456,
10.1772,Opened,2.445383,,Opened,2.479568,
10.1916,Opened,2.400142,,Opened,2.401835,
10.2059,Opened,2.428789,,Opened,2.453582,
10.2202,Opened,2.440713,,Opened,2.487776,
10.2344,Opened,2.414157,,Opened,2.443752,
10.2488,Opened,2.386388,,Opened,2.415794,
10.2629,Opened,2.4186,,Opened,2.44945,
10.2773,Opened,2.371327,,Opened,2.393117,
10.2917,Opened,2.387497,,Opened,2.426056,
10.3057,Opened,2.376014,,Opened,2.400432,
10.32,Opened,2.378302,,Opened,2.415888,
10.3344,Opened,2.3691,,Opened,2.396139,
10.3487,Opened,2.378654,,Opened,2.430649,
10.363,Opened,2.376579,,Opened,2.409542,
10.3767,Opened,2.381992,,Opened,2.413148,
10.3909,Opened,2.354457,,Opened,2.382829,
10.4053,Opened,2.39599,,Opened,2.437536,
10.4196,Opened,2.367287,,Opened,2.402782,
10.434,Opened,2.361969,,Opened,2.401691,
10.448,Opened,2.388018,,Opened,2.428218,
10.4623,Opened,2.342359,,Opened,2.363305,
10.4768,Opened,2.337077,,Opened,2.355696,
10.491,Opened,2.371082,,Opened,2.399239,
10.5052,Opened,2.359729,,Opened,2.38934,
10.5197,Opened,2.364535,,Opened,2.394755,
10.5342,Opened,2.383058,,Opened,2.4169,
10.5484,Opened,2.364979,,Opened,2.400426,
10.5628,Opened,2.366497,,Opened,2.407722,
10.577,Opened,2.356181,,Opened,2.393588,
10.5917,Opened,2.38369,,Opened,2.422886,
10.6058,Opened,2.374978,,Opened,2.412246,
10.6202,Opened,2.359589,,Opened,2.391365,
10.6344,Opened,2.371507,,Opened,2.395462,
10.6488,Opened,2.377475,,Opened,2.406323,
10.6628,Opened,2.394216,,Opened,2.429912,
10.6771,Opened,2.39417,,Opened,2.41459,
10.6914,Opened,2.383582,,Opened,2.410063,
10.7057,Opened,2.394735,,Opened,2.421781,
10.7199,Opened,2.37696,,Opened,2.393439,
10.7339,Opened,2.395673,,Opened,2.439858,
10.7481,Opened,2.402005,,Opened,2.452384,
10.7621,Opened,2.386683,,Opened,2.431014,
10.7761,Opened,2.415728,,Opened,2.447734,
10.79,Opened,2.396224,,Opened,2.432209,
10.8045,Opened,2.427309,,Opened,2.457808,
10.8186,Opened,2.421589,,Opened,2.441499,
10.8325,Opened,2.412359,,Opened,2.446469,
10.8462,Opened,2.422113,,Opened,2.438308,
10.86,Opened,2.427415,,Opened,2.4665,
10.874,Opened,2.422137,,Opened,2.44085,
10.8882,Opened,2.456985,,Opened,2.482337,
10.9024,Opened,2.43391,,Opened,2.471556,
10.9168,Opened,2.433246,,Opened,2.458365,
10.9313,Opened,2.452897,,Opened,2.471456,
10.9457,Opened,2.472402,,Opened,2.495004,
10.9599,Opened,2.484449,,Opened,2.491994,
10.9742,Opened,2.478629,,Opened,2.479674,
10.9882,Opened,2.503421,,Opened,2.546248,
11.0027,Opened,2.488997,,Opened,2.529209,
11.0169,Opened,2.499331,,Opened,2.531127,
11.0315,Opened,2.483544,,Opened,2.519606,
11.0455,Opened,2.497407,,Opened,2.522883,
11.0598,Opened,2.515121,,Opened,2.556308,
11.0743,Opened,2.523951,,Opened,2.55615,
11.0884,Opened,2.539263,,Opened,2.572955,
11.1023,Opened,2.5242,,Opened,2.544939,
11.1164,Opened,2.539013,,Opened,2.564216,
11.1307,Opened,2.538566,,Opened,2.561306,
11.1451,Opened,2.523164,,Opened,2.549451,
11.1596,Opened,2.545253,,Opened,2.592644,
11.1739,Opened,2.552339,,Opened,2.575716,
11.1884,Opened,2.542724,,Opened,2.590709,
11.2028,Opened,2.568378,,Opened,2.577288,
11.2168,Opened,2.564172,,Opened,2.594068,
11.2311,Opened,2.56323,,Opened,2.595966,
11.2454,Opened,2.558767,,Opened,2.581252,
11.2595,Opened,2.573518,,Opened,2.598821,
11.274,Opened,2.571216,,Opened,2.604692,
11.2884,Opened,2.582948,,Opened,2.60982,
11.303,Opened,2.585815,,Opened,2.606321,
11.3175,Opened,2.597171,,Opened,2.626713,
11.3313,Opened,2.593634,,Opened,2.631354,
11.3455,Opened,2.6059,,Opened,2.636348,
11.3599,Opened,2.602926,,Opened,2.624276,
11.3741,Opened,2.58479,,Opened,2.60504,
11.3883,Opened,2.604899,,Opened,2.629236,
11.4024,Opened,2.617756,,Opened,2.645314,
11.417,Opened,2.606521,,Opened,2.638981,
11.4312,Opened,2.597933,,Opened,2.644521,
11.446,Opened,2.62325,,Opened,2.657582,
11.4605,Opened,2.624414,,Opened,2.630392,
11.4752,Opened,2.6199,,Opened,2.653984,
11.4895,Opened,2.619634,,Opened,2.635545,
11.5038,Opened,2.610637,,Opened,2.63299,
11.5177,Opened,2.598225,,Opened,2.625158,
11.5322,Opened,2.608998,,Opened,2.64671,
11.5465,Opened,2.597479,,Opened,2.621217,
11.561,Opened,2.611909,,Opened,2.646895,
11.5755,Opened,2.592751,,Opened,2.623212,
11.5898,Opened,2.591221,,Opened,2.626107,
11.6042,Opened,2.60856,,Opened,2.647586,
11.6183,Opened,2.593897,,Opened,2.639225,
11.6323,Opened,2.600903,,Opened,2.627072,
11.6465,Opened,2.604904,,Opened,2.61445,
11.6609,Opened,2.601593,,Opened,2.644313,
11.6748,Opened,2.591639,,Opened,2.592257,
11.6892,Opened,2.608932,,Opened,2.63991,
11.7032,Opened,2.600089,,Opened,2.628133,
11.7173,Opened,2.591817,,Opened,2.612427,
11.7316,Opened,2.59736,,Opened,2.626104,
11.7458,Opened,2.571936,,Opened,2.584007,
11.76,Opened,2.572651,,Opened,2.612669,
11.7742,Opened,2.594228,,Opened,2.631898,
11.7887,Opened,2.599093,,Opened,2.612278,
11.8028,Opened,2.551106,,Opened,2.587855,
